Project Code,Raised,Staking,Vesting,Deflation
icomosaico,710142.06,TRUE,TRUE,TRUE
wolumen-eu,122181.01,FALSE,FALSE,FALSE
mft-ai,9744.33,TRUE,FALSE,FALSE
ifo,2213.2,TRUE,FALSE,FALSE
lasytlenowe,30963.08,TRUE,FALSE,FALSE
hubone,457633.39,TRUE,FALSE,FALSE
viyachts,32714.68,FALSE,FALSE,FALSE
pasiekajurajska,147630.88,TRUE,FALSE,FALSE
voltmaxcharger,26102.35,FALSE,FALSE,FALSE
beczkiswietegomikolaja,65620.61,FALSE,FALSE,FALSE
beczkipalikota,450672.57,FALSE,FALSE,FALSE
browarjastrzebie,105270.81,TRUE,FALSE,FALSE
toscanizzazione,490577.3,TRUE,FALSE,FALSE
sapiencyieo2021,1500000,FALSE,FALSE,FALSE
rahimcoin,86219.39,FALSE,FALSE,FALSE
metajar,31478.47,TRUE,FALSE,FALSE
bystra,25337.69,TRUE,FALSE,FALSE
meetfacestrading,103741.26,TRUE,FALSE,FALSE
payb_io,56996.77,TRUE,FALSE,FALSE
satilec,113466.8,TRUE,FALSE,FALSE
copernic 3,295465.56,TRUE,FALSE,FALSE
virtualteacher,3232.98,TRUE,FALSE,FALSE
sixseasonsdistillery,351208.98,TRUE,FALSE,FALSE
jpw21,1160379.54,FALSE,FALSE,FALSE
cop1,190876,TRUE,FALSE,FALSE
copernic2,212644.27,TRUE,FALSE,FALSE
magnetiqa,58030.58,FALSE,FALSE,FALSE
airdance,317509.08,TRUE,FALSE,FALSE
paybtc,105736.49,TRUE,FALSE,FALSE
sportispro,5744.4,FALSE,FALSE,FALSE
bboldtimergarage,156538.5,FALSE,FALSE,FALSE
greenpowerplant,4082.22,FALSE,FALSE,FALSE
