Project Code,Item,Tokens,Token Price,Start Date,End Date,All,SOLD
icomosaico,Marketing,"21,600,000.00",,,,,
icomosaico,Team,"14,400,000.00",,,,,
icomosaico,Reserve,"35,046,000.00",,,,,
icomosaico,Private Sale,"50,000,000.00",0.0023,30.08.2021,13.09.2021,,
icomosaico,Pre-sale,"16,666,667.00",0.0069,23.09.2021,27.09.2021,,
icomosaico,ICO 1,"10,000,000.00",0.0115,15.10.2021,15.10.2021,,
icomosaico,ICO 2,"8,333,333.00",0.0138,15.11.2021,15.11.2021,,
icomosaico,ICO 3,"23,954,000.00",0.0161,08.12.2021,12.12.2021,,
,,,,,,,
wolumen-eu,ICO 1,"880,300.00",11.6,01.10.2020,05.11.2021,,
wolumen-eu,ICO 2,"143,700.00",13.92,05.11.2021,21.01.2022,,
,,,,,,,
mft-ai,Marketing,"625,000,000.00",,,,,
mft-ai,Spółka,"625,000,000.00",,,,,
mft-ai,ICO,"1,800,000,000.00",0.027,14.04.2022,17.07.2022,,38668.12
,,,,,,,
lasytlenowe,Marketing,70,,,,,
lasytlenowe,Mosaico,70,,,,,
lasytlenowe,Reserve,"1,283.00",,,,,
lasytlenowe,Pre-sale,"1,500.00",58.13,01.02.2022,05.05.2022,,
lasytlenowe,ICO1,"2,000.00",81.52,05.05.2022,01.08.2022,,
lasytlenowe,ICO2,"2,000.00",88.57,,,,
,,,,,,,
hubone,Marketing,"22,200,000.00",,,,,
hubone,Mosaico,"4,440,000.00",,,,,
hubone,Team,"88,800,000.00",,,,,
hubone,Private Sale,"35,714,286.00",0.32,22.02.2022,10.03.2022,,
hubone,Pre-sale,"34,482,759.00",0.33,10.03.2022,04.04.2022,,
hubone,ICO 1,"111,842,105.00",0.35,04.04.2022,12.06.2022,,
hubone,ICO 2,"146,496,815.00",0.36,,,,
,,,,,,,
viyachts,Marketing,500,,,,,
viyachts,Mosaico,"500,000.00",,,,,
viyachts,Pre-Sale,"3,846,154.00",0.61,10.02.2022,03.02.2022,,
viyachts,ICO 1,"6,451,613.00",0.72,03.02.2022,30.06.2022,,
viyachts,ICO 2,"7,812,500.00",0.75,,,,
viyachts,ICO 3,"9,090,909.00",0.77,,,,
viyachts,ICO 4,"10,447,761.00",0.78,,,,
viyachts,ICO 5,"11,764,706.00",0.79,,,,
,,,,,,,
pasiekajurajska,Marketing,"100,000.00",,,,,
pasiekajurajska,Mosaico,"50,000.00",,,,,
pasiekajurajska,Private Sale,"375,000.00",0.055,28.01.2022,10.02.2022,,
pasiekajurajska,Pre-Sale,"360,000.00",0.058,10.02.2022,14.02.2022,,
pasiekajurajska,ICO 1,"937,500.00",0.074,14.02.2022,05.07.2022,,
pasiekajurajska,ICO 2,"941,176.00",0.079,,,,
pasiekajurajska,ICO 3,"971,428.00",0.082,,,,
pasiekajurajska,ICO 4,"1,000,000.00",0.084,,,,
,,,,,,,
voltmaxcharger,Marketing,"2,550.00",,,,,
voltmaxcharger,Mosaico,510,,,,,
voltmaxcharger,Team,357,,,,,
voltmaxcharger,Private Sale,"23,500.00",11.64,13.01.2022,27.01.2022,,
voltmaxcharger,ICO 1,"10,836.00",12.11,27.01.2022,24.06.2022,,
voltmaxcharger,ICO 2,"8,027.00",12.58,,,,
voltmaxcharger,ICO 3,"4,732.00",13.04,,,,
,,,,,,,
beczkiswietegomikolaja,Marketing,"1,720.00",,,,,
beczkiswietegomikolaja,Mosaico,430,,,,,
beczkiswietegomikolaja,Team,"1,505.00",,,,,
beczkiswietegomikolaja,Private Sale,"9,000.00",24.65,04.01.2022,17.01.2022,,
beczkiswietegomikolaja,ICO 1,"11,100.00",26.8,17.01.2022,24.02.2022,,
beczkiswietegomikolaja,ICO 2,"11,000.00",28.4,24.02.2022,01.08.2022,,
beczkiswietegomikolaja,ICO 3,"8,000.00",30.01,,,,
,,,,,,,
beczkipalikota,Private Sale,"8,000.00",25.42,16.12.2021,04.01.2022,,
beczkipalikota,ICO 1,"9,000.00",27.73,13.01.2022,30.06.2022,,
,,,,,,,
browarjastrzebie,Marketing,,"3,000.00",,,,
browarjastrzebie,Mosaico,,600,,,,
browarjastrzebie,Team,,"2,400.00",,,,
browarjastrzebie,Private Sale,"20,000.00",13.87,16.12.2021,04.01.2022,,
browarjastrzebie,Pre-Sale,"10,000.00",15.02,04.01.2022,13.01.2022,,
browarjastrzebie,ICO 1,"8,621.00",15.72,13.01.2022,24.03.2022,,
browarjastrzebie,ICO 2,"7,628.00",15.95,24.03.2022,30.06.2022,,
,,,,,,,
toscanizzazione,ICO,"100,000.00",23.11,25.03.2021,31.05.2022,,
,,,,,,,
,,,,,,,
metajar,Marketing,"1,050,000.00",,,,,
metajar,Mosaico,"210,000.00",,,,,
metajar,Team,"420,000.00",,,,,
metajar,Private Sale,"7,560,000.00",0.0092,03.02.2022,17.02.2022,,
metajar,ICO 1,"4,830,000.00",0.0116,17.02.2022,22.04.2022,,
,,,,,,,
bystra,ICO1,"18,000.00",20.79,27.05.2021,31.07.2021,,534
bystra,ICO2,"18,000.00",22.18,31.07.2021,28.08.2021,,105
bystra,ICO3,"18,000.00",22.64,28.08.2021,23.09.2021,,49
bystra,ICO4,"18,000.00",23.1,23.09.2021,29.03.2022,,473
,,,,,,,
meetfacestrading,Marketing,"6,250,000.00",,,,,
meetfacestrading,Spółka,"6,250,000.00",,,,,
meetfacestrading,Private Sale,"10,000,000.00",0.0046,01.07.2021,10.08.2021,,
meetfacestrading,Pre-Sale,"4,000,000.00",0.011,10.08.2021,23.09.2021,,
meetfacestrading,ICO1,"18,000,000.00",0.023,23.09.2021,01.02.2022,,
,,,,,,,
payb_io,ICO,"2,100,000.00",2.54,02.12.2021,29.01.2022,,
,,,,,,,
satilec,Marketing,750,,,,,
satilec,Mosaico,150,,,,,
satilec,Pre-Sale,"2,500.00",13.87,23.09.2021,09.10.2021,,
satilec,ICO 1,"5,000.00",16.18,09.10.2021,01.01.2022,,
,,,,,,,
copernic,Marketing,"50,000.00",,,,,
copernic,Team,"150,000.00",,,,,
copernic,Private sale,"200,000.00",0.83,02.08.2021,07.08.2021,,58903
copernic,Pre-sale,"200,000.00",0.87,08.08.2021,11.08.2021,,25953
copernic,ICO1,"200,000.00",0.92,11.08.2021,15.09.2021,,70847
copernic,ICO2,"200,000.00",0.97,15.09.2021,06.12.2021,,160637
,,,,,,,
,,,,,,,
,,,,,,,
sixseasonsdistillery,ICO1,"5,250.00",43.43,29.04.2021,31.05.2021,,633
sixseasonsdistillery,ICO2,"5,250.00",44.35,31.05.2021,09.07.2021,,942
sixseasonsdistillery,ICO3,"5,250.00",45.28,09.07.2021,04.08.2021,,94
sixseasonsdistillery,ICO4,"5,250.00",46.2,04.08.2021,29.10.2021,,615
,,,,,,,
jpw21,ICO,"50,000.00",23.1,10.12.2020,13.12.2021,,
,,,,,,,
cop1,ICO,"800,000.00",0.93,16.03.2020,31.12.2020,,
,,,,,,,
copernic2,ICO,"800,000.00",0.93,12.01.2021,01.07.2021,,
,,,,,,,
,,,,,,,
airdance,ICO,"1,000,000.00",1.15,04.03.2021,05.03.2021,,
,,,,05.03.2021,08.06.2021,,
,,,,,,,
paybtc,ICO,"2,100,000.00",0.23,07.03.2021,08.06.2021,,
,,,,,,,
sportispro,ICO,"5,000.00",184.82,08.04.2021,29.12.2021,,
,,,,,,,
,,,,,,,
bboldtimergarage,ICO,"50,000.00",23.1,16.04.2021,22.04.2021,,
,,,,22.04.2021,30.12.2021,,
,,,,,,,
greenpowerplant,ICO,"80,000.00",11.62,14.10.2020,16.07.2021,,
,,,,,,,
sapiencyieo2021,Marketing,"2,000,000.00",,,,,
sapiencyieo2021,Team (vested),"14,000,000.00",,,,,
sapiencyieo2021,Liquidity (swap+spot),"4,900,000.00",,,,,
sapiencyieo2021,SPCY internal swap,"51,000,000.00",,,,,
sapiencyieo2021,Advisors/Partners (vested),"3,000,000.00",,,,,
sapiencyieo2021,Reserve (inc. Future Team),"17,500,000.00",,,,,
sapiencyieo2021,IEO 2021,"11,500,000.00",0.2,10.12.2021,10.12.2021,,
,,,,,,,
sapiency,ICO 2019,"1,000,000.00",0.15,28.02.2019,30.12.2019,,
